actor,type,bankability_score,film_count
Raj Kumar Gupta,director,1.771,4
Barun Chanda,actor,1.7707,1
Vikramaditya Motwane,director,1.7707,1
Fardeen Khan,actor,1.7705,5
Shaad Ali,director,1.7705,6
John Abraham,actor,1.7705,23
Prakash Jha,director,1.7703,9
Bhawsheel Sahni,actor,1.7699,1
Arnaud Humbert,actor,1.7699,1
Parambrata Chattopadhyay,actor,1.7698,2
Abhishek Kapoor,director,1.7697,5
Mohd. Zeeshan Ayyub,actor,1.7694,2
Sanjay Dutt,actor,1.769,35
Rajesh Mapuskar,director,1.769,1
Shelly Chopra Dhar,director,1.769,1
Humaima Malik,actor,1.769,1
Ritvik Sahore,actor,1.769,1
Rakul Preet Singh,actor,1.7686,5
Suzanna Mukherjee,actor,1.7681,1
Myra Karn,actor,1.7681,1
Anand Tiwari,actor,1.7681,1
Kay Kay Menon,actor,1.768,3
Habib Faisal,director,1.7678,2
Amrita Rao,actor,1.7675,6
Diana Penty,actor,1.7675,5
Sharat Katariya,director,1.7672,1
Arif Zakaria,actor,1.7672,1
Arunoday Singh,actor,1.7672,1
Alaya F,actor,1.7672,1
Suhaas Ahuja,actor,1.7672,1
Sanjay Gupta,director,1.7669,6
N. Maharajan,director,1.7663,1
Kirron Kher,actor,1.7663,1
Pooja Bhatt,director,1.7662,3
Arbaaz Khan,director,1.7662,6
Nargis Fakhri,actor,1.7661,5
Preity Zinta,actor,1.766,15
Mrunal Thakur,actor,1.766,4
Chitrangda Singh,actor,1.7653,1
Kannan Iyer,director,1.7653,1
Omi Vaidya,actor,1.7653,1
Jassie Gill,actor,1.7653,1
Jas Arora,actor,1.7653,1
Gauravv K. Chawla,director,1.7653,1
Raja Menon,director,1.7652,2
Prosit Roy,director,1.7643,1
Rukhsar Rehman,actor,1.7643,1
Dinesh Vijan,director,1.7643,1
Vishram Sawant,director,1.7643,1
Chunky Panday,actor,1.7643,1
Sumeet Raghvan,actor,1.7643,1
Priyadarshan,director,1.7636,9
Jugal Hansraj,actor,1.7636,3
Irrfan Khan,actor,1.7634,15
Krishna Abhishek,actor,1.7633,1
Umesh Ghadge,director,1.7633,1
Vijay Lalwani,director,1.7633,1
Bhushan Patel,director,1.7633,3
Ravi Chopra,director,1.7633,1
Hema Malini,actor,1.7633,2
Ranjit Tewari,director,1.763,2
Darshan Kumaar,actor,1.7624,2
Vishal Malhotra,actor,1.7623,1
Satish Shah,actor,1.7623,1
Akshara Haasan,actor,1.7623,1
Vivek Sharma,director,1.7623,1
Konkona Sen Sharma,actor,1.762,6
Mudassar Aziz,director,1.7613,2
Nawazuddin Siddiqui,actor,1.7613,13
Mohit Ahlawat,actor,1.7612,1
Bobby Khan,director,1.7612,1
Farhan Akhtar,actor,1.7612,12
Surveen Chawla,actor,1.7612,1
Jay Bhanushali,actor,1.7612,1
Aziz Mirza,director,1.7602,4
Luke Kenny,actor,1.7601,1
Manoj Joshi,actor,1.7601,1
Mahesh Manjrekar,director,1.7599,6
Raj Nidimoru,actor,1.7597,3
Krishna D.K.,director,1.7597,3
Neha Dhupia,actor,1.7597,2
Neena Gupta,actor,1.7595,4
Sanjeev Kumar,actor,1.7593,2
Atul Sabharwal,director,1.759,1
Sasha Aagha,actor,1.759,1
Dilip Mestry,actor,1.759,1
Prithviraj Sukumaran,actor,1.759,1
Pankaj Kapur,actor,1.7587,4
Sushant Singh,actor,1.7585,2
Bhumi Pednekar,actor,1.7584,6
Vikas Bahl,director,1.7583,4
Pulkit Samrat,actor,1.7582,4
Sushmita Sen,actor,1.7581,4
Akshaye Khanna,actor,1.758,14
Mukesh S. Bhatt,actor,1.7579,1
Prem Chopra,actor,1.7579,1
Kishori Ballal,actor,1.7579,1
Ribhu Dasgupta,director,1.7579,1
Gayatri Joshi,actor,1.7579,1
Sara Loren,actor,1.7579,1
Mukesh Khanna,actor,1.7579,1
Vishesh Bhatt,director,1.7579,1
Soham Shah,director,1.7575,2
Neil Nitin Mukesh,actor,1.757,4
Pooja Salvi,actor,1.7567,1
Kunaal Roy Kapur,actor,1.7567,1
Genelia D'Souza,actor,1.7566,5
Rohan Sippy,director,1.7565,2
Suresh Oberoi,actor,1.7563,3
Himesh Reshammiya,actor,1.7559,2
Khalid Mohamed,director,1.7555,1
Tushar Hiranandani,director,1.7555,1
Bijay Anand,actor,1.7555,1
Mandeep Kumar,director,1.7555,1
